"module": executable file not found in $PATH
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011198 | lrm: 1.00 | dt: 70423ms | tok/sec: 7,444 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.854702 | lrm: 1.00 | dt: 317ms | tok/sec: 1,652,269 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.442315 | lrm: 1.00 | dt: 319ms | tok/sec: 1,646,060 | mfu: 39.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.971719 | lrm: 1.00 | dt: 341ms | tok/sec: 1,537,264 | mfu: 37.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.578760 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,688 | mfu: 39.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.248846 | lrm: 1.00 | dt: 318ms | tok/sec: 1,649,424 | mfu: 39.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.998084 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,622 | mfu: 38.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.787079 | lrm: 1.00 | dt: 332ms | tok/sec: 1,579,214 | mfu: 38.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.606994 | lrm: 1.00 | dt: 323ms | tok/sec: 1,623,782 | mfu: 39.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.455153 | lrm: 1.00 | dt: 329ms | tok/sec: 1,593,707 | mfu: 38.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.325382 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,127 | mfu: 38.3% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.217079 | lrm: 1.00 | dt: 325ms | tok/sec: 1,611,764 | mfu: 38.9% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.120709 | lrm: 1.00 | dt: 332ms | tok/sec: 1,578,664 | mfu: 38.1% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.034846 | lrm: 1.00 | dt: 329ms | tok/sec: 1,594,906 | mfu: 38.5% | epoch: 1 | remaining: 299s    
step 00014 (0.3%) | loss: 5.962715 | lrm: 1.00 | dt: 325ms | tok/sec: 1,614,791 | mfu: 39.0% | epoch: 1 | remaining: 299s    
step 00015 (0.4%) | loss: 5.898192 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,498 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00016 (0.5%) | loss: 5.842083 | lrm: 1.00 | dt: 330ms | tok/sec: 1,588,023 | mfu: 38.4% | epoch: 1 | remaining: 298s    
step 00017 (0.7%) | loss: 5.787536 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,428 | mfu: 38.6% | epoch: 1 | remaining: 298s    
step 00018 (0.8%) | loss: 5.738480 | lrm: 1.00 | dt: 328ms | tok/sec: 1,599,017 | mfu: 38.6% | epoch: 1 | remaining: 297s    
step 00019 (0.9%) | loss: 5.692904 | lrm: 1.00 | dt: 332ms | tok/sec: 1,581,298 | mfu: 38.2% | epoch: 1 | remaining: 297s    
step 00020 (1.0%) | loss: 5.650567 | lrm: 1.00 | dt: 324ms | tok/sec: 1,617,969 | mfu: 39.1% | epoch: 1 | remaining: 297s    
step 00021 (1.1%) | loss: 5.610037 | lrm: 1.00 | dt: 329ms | tok/sec: 1,595,492 | mfu: 38.5% | epoch: 1 | remaining: 296s    
step 00022 (1.2%) | loss: 5.574113 | lrm: 1.00 | dt: 330ms | tok/sec: 1,590,457 | mfu: 38.4% | epoch: 1 | remaining: 296s    
step 00023 (1.3%) | loss: 5.536651 | lrm: 1.00 | dt: 331ms | tok/sec: 1,586,128 | mfu: 38.3% | epoch: 1 | remaining: 296s    
step 00024 (1.4%) | loss: 5.500821 | lrm: 1.00 | dt: 327ms | tok/sec: 1,602,181 | mfu: 38.7% | epoch: 1 | remaining: 295s    
step 00025 (1.5%) | loss: 5.468158 | lrm: 1.00 | dt: 331ms | tok/sec: 1,583,286 | mfu: 38.3% | epoch: 1 | remaining: 295s    
step 00026 (1.6%) | loss: 5.437012 | lrm: 1.00 | dt: 328ms | tok/sec: 1,598,236 | mfu: 38.6% | epoch: 1 | remaining: 295s    
step 00027 (1.8%) | loss: 5.406529 | lrm: 1.00 | dt: 323ms | tok/sec: 1,620,724 | mfu: 39.2% | epoch: 1 | remaining: 294s    
step 00028 (1.9%) | loss: 5.378619 | lrm: 1.00 | dt: 331ms | tok/sec: 1,586,097 | mfu: 38.3% | epoch: 1 | remaining: 294s    
step 00029 (2.0%) | loss: 5.349829 | lrm: 1.00 | dt: 326ms | tok/sec: 1,605,822 | mfu: 38.8% | epoch: 1 | remaining: 294s    
step 00030 (2.1%) | loss: 5.318939 | lrm: 1.00 | dt: 327ms | tok/sec: 1,603,880 | mfu: 38.8% | epoch: 1 | remaining: 293s    
step 00031 (2.2%) | loss: 5.288708 | lrm: 1.00 | dt: 328ms | tok/sec: 1,596,389 | mfu: 38.6% | epoch: 1 | remaining: 293s    
step 00032 (2.3%) | loss: 5.260489 | lrm: 1.00 | dt: 325ms | tok/sec: 1,612,537 | mfu: 39.0% | epoch: 1 | remaining: 293s    
